datetime,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precipprob,precipcover,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,apparent_temperature_mean,precipitation_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration,river_discharge,rain_sum,precip
14-04-2013,35,27,30.7,41.9,30,33.7,21.1,58,0,0,22.3,207,1006.9,45.6,4.1,272.7,23.6,9,32.1,0,0,17,4.36,0.31,0,0
15-04-2013,35,25.4,29.6,35.2,25.4,31,19.8,58.2,100,29.17,22.3,217.9,1004.4,34.8,4.5,219.4,19.1,8,32,1.5,1,12.8,5.18,0.34,1.5,0.8
16-04-2013,31,24,27,31.9,24,27.6,19.3,63.9,100,33.33,22.3,66.3,1003.3,65.4,4.4,222.9,19.2,9,30.3,7.6,7,15.6,4.31,1.81,7.6,6.1
17-04-2013,30,19.1,25.7,34.7,19.1,26.7,19.7,70.5,100,100,18.4,99.1,1003.3,68.6,4.3,261.3,22.5,9,25.6,61.1,12,17.8,1.73,4.53,61.1,25.2
18-04-2013,33,24.1,27.9,33.5,24.1,28.6,19.8,63.2,100,25,18.4,143.1,1004.6,66.1,4.3,253.3,21.9,8,28.2,2.3,6,20.4,2.56,2.44,2.3,0.7
19-04-2013,34,24.5,28.9,39.4,24.5,30.9,21.5,65.4,100,16.67,37.1,118.8,1005.3,68.8,31,149.2,12.9,5,31.3,1.3,4,9.4,4.33,2.06,1.3,1.8
20-04-2013,33,21.4,27.3,35.3,21.4,28.4,19.8,65.5,100,41.67,18.4,262.3,1007.3,74.5,4.4,167.9,14.3,6,29.8,14.9,6,12.8,3.59,1.28,14.9,2.5
21-04-2013,32,24.7,28.4,33.5,24.7,30.3,21,65.3,100,33.33,14.8,264.4,1007.9,74.2,4.4,124.1,10.7,4,30.4,0.4,1,11.5,4.62,0.81,0.4,0.9
22-04-2013,31.3,23,25.5,31.8,23,25.8,20.7,75.6,100,16.67,18.4,130.5,1009.6,82,4.3,208.3,18,7,29.5,0.8,1,8,3.79,0.59,0.8,0.4
23-04-2013,33,21.7,27.4,34.7,21.7,28.4,19.9,65.5,0,0,14.8,290.8,1009.8,43.6,4.2,284.7,24.6,9,30,0,0,6.5,4.68,0.5,0,0
24-04-2013,35,23.4,29,42,23.4,30.8,20.6,62.5,100,12.5,14.8,282.1,1009.3,38.9,4.4,277.7,23.9,9,31.4,0.2,1,6.8,5.04,0.44,0.2,0.3
25-04-2013,35,25.3,30.3,38.6,25.3,32.9,21.2,59.7,0,0,14.8,24.4,1008.6,53.6,4.5,277.4,23.9,9,33,0,0,8,5.16,0.41,0,0
26-04-2013,36,26.9,31,39.8,29.8,34.3,21.9,59.8,0,0,18.4,213,1007.3,39.8,4.4,281.5,24.2,9,33.5,0,0,8.4,5.16,0.37,0,0
27-04-2013,31.2,24,29.1,38.1,24,32.9,23,70.4,100,54.17,37.1,177.2,1005.4,75.3,4.1,228.9,19.8,8,33.9,4.6,8,13.8,4.72,0.56,4.6,2.1
28-04-2013,33.1,24,27.8,38.2,24,30.2,21.9,70.9,100,50,22.3,115,1004.7,73,4.2,274.7,23.6,9,33.6,4.1,10,18,4.41,0.63,4.1,1.9
29-04-2013,36,26,30.3,44.9,26,36.3,24.9,74,100,29.17,27.7,167.8,1004.2,89.5,4.1,287,24.7,9,33.3,12.9,12,14.5,3.91,1.06,12.9,0.7
30-04-2013,35,26,30.3,40.7,26,35.4,24.2,71.1,100,8.33,22.3,159.5,1004.5,70.7,4.4,270.8,23.4,9,34.1,1.7,9,17.4,3.9,0.94,1.7,0.2
1/5/13,37,28.9,31.7,44.9,33.6,38.7,25,68.6,0,0,27.7,176.3,1001.7,83.9,4.6,271.6,23.4,9,34.4,0.6,4,25.3,4.84,0.81,0.6,0
2/5/13,36,29,32.1,44.7,35.6,39.8,25.5,69.2,0,0,29.5,180.2,999.4,71.3,4.3,279.3,24,9,34.5,0,0,26.8,6.22,0.63,0,0
3/5/13,36,28.9,32,39.8,32.6,36.5,22.7,59.9,100,50,31.5,186.7,999.7,50.6,4.6,273.2,23.7,9,32.4,27.7,7,26.9,4.97,3.5,27.7,1.2
4/5/13,33,27,29.5,40.7,28.8,33.3,22.5,66.7,100,100,27.7,141.5,1002.8,77.4,4.4,285.8,24.6,9,30.8,42.1,11,22.3,3.11,6.41,42.1,20.3
5/5/13,30,21,25.8,33.3,21,26.6,20.5,73,100,70.83,33.5,97.3,1006.2,87.7,4.4,210,18.1,6,29,39.7,16,19.8,2.63,5.15,39.7,38.1
6/5/13,26,21,24.3,26,21,24.3,21.8,86.1,100,100,24.1,90.9,1005.1,94.9,3.9,199.5,17.2,6,27.3,103.9,22,15.3,1.15,11.94,103.9,30.9
7/5/13,30,23,25.9,36.2,23,27.7,23.2,85.2,100,100,22.3,105.7,1003.7,92.9,4,226.1,19.4,7,28.3,58,18,13.6,1.97,7.99,58,36.6
8/5/13,33,24,28,48,24,32.5,25.1,84.6,100,100,22.3,185.5,1002,88.1,4.1,250.8,21.6,9,30.2,12.1,22,15.5,2.22,5.75,12.1,17.7
9/5/13,30,23.8,27.2,35.1,23.8,29.9,23.4,80.1,100,66.67,18.4,113.3,1002.1,87.5,4.2,261.6,22.5,9,30.5,27.4,22,19.1,2.27,3.41,27.4,16.1
10/5/13,35.1,26,30.2,46.9,26,36.9,25.5,76.4,100,66.67,27.7,176.4,1002.5,71.9,4.5,170.6,14.6,6,34,3.4,14,21.7,3.93,2.78,3.4,3.8
11/5/13,35,27,30.7,44.9,30.1,38.6,26.1,77.1,100,75,22.3,172.1,1001.5,77.1,4.3,190.2,16.2,6,34.5,8.7,16,19.2,4.19,2.13,8.7,3.1
12/5/13,31,24,28.1,37.7,24,31.2,22.9,74,100,70.83,18.4,79.6,1003.9,78.5,4.3,248.3,21.4,8,34.6,8,14,16.1,4.01,2.03,8,10.8
13-05-2013,33,23,28.1,38.1,23,31.4,23.2,75.4,100,91.67,18.4,136.9,1004,93,4.1,175.1,15.1,5,33.3,1.5,4,16.1,4.06,2.22,1.5,10.4
14-05-2013,33,23,27.7,39.3,23,30.8,23.7,79.7,100,54.17,24.1,143.5,1003.2,88.2,4.1,270.9,23.4,9,33.6,10.7,11,11.9,3.88,1.72,10.7,1.6
15-05-2013,32,26.2,28.7,39.2,26.2,33.6,24.7,79.4,100,87.5,18.4,116.3,1002.2,88.9,4.3,164.4,14,5,32,1.9,4,12.4,2.27,3.32,1.9,37.8
16-05-2013,27.4,22.9,24.9,30.4,22.9,25.3,22.8,88.4,100,91.67,29.5,57.2,999.7,97,3.8,132.2,11.3,4,25.9,150,17,27.3,0.86,10.09,150,74.3
17-05-2013,32,24,27.9,38.2,24,30.6,22.8,74.9,100,20.83,25.9,153.7,1003.6,87.2,4.1,283.5,24.5,9,30.3,2.3,8,17.5,4.26,5.22,2.3,3
18-05-2013,33,25.6,28.5,41.6,25.6,32.8,24.5,79.4,100,45.83,24.1,168.9,1003.3,82.9,4.1,240.2,20.6,8,33.1,6,16,17.8,3.75,3.03,6,1.6
19-05-2013,35,26,30.4,44.9,26,35.7,24.7,73,100,79.17,29.5,158,1002.8,75.7,4.3,232.6,20.1,7,33.5,2.8,11,19.1,4.17,2.72,2.8,3.2
20-05-2013,32,26,28.2,42.3,26,32.9,25.1,83.7,100,87.5,24.1,155.3,1002.5,86.5,3.7,168.6,14.5,6,32,25.5,20,15.3,2.44,4.19,25.5,17.5
21-05-2013,30,26,27.8,36.2,26,31.6,24.6,83.1,100,100,18.4,118.7,1002.2,91.6,4.3,82.8,7.3,3,30.4,32.5,17,14.8,1.91,4.6,32.5,47.3
22-05-2013,28,24.6,26.5,31.9,24.6,28.1,23.6,84.3,100,100,18.4,101,1002,89.4,4.1,138.3,12,5,29.9,13,15,14.8,1.52,3.62,13,23.1
23-05-2013,28,24,26.1,32.7,24,27.7,24.2,89.5,100,100,27.7,67.6,1000.7,95.9,3.4,96.2,8.3,3,29.8,18.9,17,18.7,0.89,3.81,18.9,20
24-05-2013,29,24,25.9,35.6,24,27.4,24,89.5,100,100,18.4,103.6,1000.6,96.6,3,134.7,11.6,4,29.6,47.9,24,13.8,0.96,6.06,47.9,18.7
25-05-2013,32,25.9,28.6,42.3,25.9,32.9,24.6,79.6,100,50,18.4,113,1000.3,86.2,4.2,128,11,4,30.7,17.4,13,14.8,1.89,3.62,17.4,5.8
